state,state_fips,fips,county,NAME,season,season_start_year,total_cases,flu_rate_per_100k,peak_week_cases,peak_rate_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pop_total,pop_elderly,pop_below_poverty,labour_force,unemployed,total_commuters,public_transport_commuters,pop_white,pop_foreign_born,pop_bachelors_plus,land_area_sqmi,outbreak
NY,36,36001,ALBANY,"Albany County, New York",2024-2025,2024,3955.0,1255.4,447.0,141.9,33.0,18.0,24.83,84.8,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0
NY,36,36003,ALLEGANY,"Allegany County, New York",2024-2025,2024,946.0,2003.3,95.0,201.2,25.0,20.0,4.75,84.2,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0
NY,36,36005,BRONX,"Bronx County, New York",2024-2025,2024,48654.0,3371.2,5434.0,376.5,33.0,16.0,339.62,75.4,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,1
NY,36,36007,BROOME,"Broome County, New York",2024-2025,2024,3897.0,1964.6,409.0,206.2,32.0,19.0,21.53,90.8,281.11,39.7,19.74,2.31,58317,18.14,6.94,3.08,19.73,17.39,7.6,198365,39154,35991,93816,6514,84789,2615,163872,15084,39139,705.651,0
NY,36,36009,CATTARAUGUS,"Cattaraugus County, New York",2024-2025,2024,712.0,924.7,80.0,103.9,25.0,20.0,4.0,86.9,58.86,42.5,19.94,2.36,56889,16.9,5.4,0.45,13.94,10.01,1.57,77000,15353,13016,35118,1897,32488,146,69289,1206,10732,1308.163,0
NY,36,36011,CAYUGA,"Cayuga County, New York",2024-2025,2024,1373.0,1802.5,172.0,225.8,27.0,20.0,8.6,86.7,110.14,43.4,20.05,2.34,63227,12.79,4.26,0.63,16.7,10.41,2.33,76171,15272,9744,36289,1545,34081,214,68242,1775,12723,691.587,0
NY,36,36013,CHAUTAUQUA,"Chautauqua County, New York",2024-2025,2024,1566.0,1228.8,197.0,154.6,28.0,20.0,9.85,92.8,120.18,42.8,20.81,2.29,54625,16.88,5.42,0.46,17.04,11.2,2.43,127440,26525,21513,58337,3161,53861,246,113168,3096,21716,1060.41,0
NY,36,36015,CHEMUNG,"Chemung County, New York",2024-2025,2024,2304.0,2756.5,187.0,223.7,32.0,17.0,11.0,84.7,205.2,41.7,19.59,2.29,61358,14.5,6.33,1.25,17.32,14.06,3.49,83584,16376,12118,39143,2479,35625,444,71833,2920,14476,407.333,1
NY,36,36017,CHENANGO,"Chenango County, New York",2024-2025,2024,1229.0,2609.6,128.0,271.8,33.0,16.0,8.0,90.8,52.71,44.9,21.32,2.33,61741,12.2,7.1,0.05,13.17,5.66,2.23,47096,10043,5747,22858,1624,20856,11,44432,1052,6204,893.443,0
NY,36,36019,CLINTON,"Clinton County, New York",2024-2025,2024,1230.0,1540.6,144.0,180.4,28.0,20.0,7.2,79.3,76.93,40.9,17.84,2.24,67097,12.01,4.66,0.17,18.8,9.7,4.87,79839,14244,9586,37687,1755,35098,58,72093,3885,15013,1037.751,0
NY,36,36021,COLUMBIA,"Columbia County, New York",2024-2025,2024,821.0,1335.6,107.0,174.1,23.0,20.0,5.35,90.4,96.85,49.3,24.77,2.34,81741,10.02,5.93,2.63,28.01,13.96,6.68,61469,15226,6157,31440,1865,29002,764,52887,4105,17216,634.663,0
NY,36,36023,CORTLAND,"Cortland County, New York",2024-2025,2024,1460.0,3122.7,166.0,355.0,30.0,20.0,8.3,88.1,93.74,36.3,16.5,2.33,65029,11.92,5.36,0.98,17.43,8.5,2.44,46755,7714,5575,24605,1320,22643,221,42782,1141,8150,498.774,1
NY,36,36025,DELAWARE,"Delaware County, New York",2024-2025,2024,1254.0,2809.3,125.0,280.0,27.0,20.0,6.25,80.8,30.94,48.9,25.2,2.26,58338,14.1,6.11,0.99,18.57,7.63,4.14,44637,11250,6295,20500,1253,18859,187,41231,1847,8288,1442.596,1
NY,36,36027,DUTCHESS,"Dutchess County, New York",2024-2025,2024,8645.0,2916.0,908.0,306.3,33.0,17.0,53.41,74.9,372.63,42.9,18.4,2.45,94578,8.15,4.97,4.22,27.73,26.72,11.14,296467,54548,24165,155858,7749,145279,6125,217242,33016,82207,795.602,1
NY,36,36029,ERIE,"Erie County, New York",2024-2025,2024,12745.0,1339.8,1052.0,110.6,33.0,20.0,52.6,81.5,912.25,40.1,18.47,2.28,68014,13.42,4.95,3.01,25.68,24.62,7.36,951232,175697,127623,490302,24274,455254,13708,717085,70049,244270,1042.732,0
NY,36,36031,ESSEX,"Essex County, New York",2024-2025,2024,605.0,1621.4,81.0,217.1,25.0,20.0,4.05,76.0,20.8,49.2,24.83,2.23,68090,9.84,5.07,0.51,24.17,6.86,4.07,37314,9264,3670,18218,924,16875,86,34753,1517,9020,1794.122,0
NY,36,36033,FRANKLIN,"Franklin County, New York",2024-2025,2024,884.0,1862.7,106.0,223.4,27.0,18.0,5.89,95.0,29.13,41.9,18.44,2.28,60270,16.26,5.15,1.35,15.79,16.02,3.89,47459,8753,7719,20370,1049,18873,255,39855,1848,7493,1629.296,0
NY,36,36035,FULTON,"Fulton County, New York",2024-2025,2024,989.0,1856.2,94.0,176.4,32.0,20.0,4.7,82.5,107.54,44.2,20.15,2.35,60557,13.66,4.31,0.49,14.03,8.95,2.03,53280,10737,7280,25421,1095,23844,116,48512,1081,7473,495.46,0
NY,36,36037,GENESEE,"Genesee County, New York",2024-2025,2024,1221.0,2097.8,136.0,233.7,26.0,20.0,6.8,78.5,118.08,42.7,19.47,2.34,68178,10.26,4.73,0.12,16.64,9.02,2.61,58204,11331,5974,30326,1433,28247,34,52954,1517,9683,492.939,0
NY,36,36039,GREENE,"Greene County, New York",2024-2025,2024,749.0,1558.2,114.0,237.2,28.0,19.0,6.0,83.4,74.27,47.0,23.16,2.52,70294,9.81,2.8,1.38,20.91,13.8,5.58,48067,11132,4713,22539,630,21390,295,41433,2682,10050,647.161,0
NY,36,36041,HAMILTON,"Hamilton County, New York",2024-2025,2024,56.0,1100.2,10.0,196.5,15.0,16.0,0.62,67.9,2.96,56.4,32.0,2.83,66891,10.63,4.91,0.49,18.84,7.54,1.71,5090,1629,541,2342,115,2223,11,4706,87,959,1717.378,0
NY,36,36043,HERKIMER,"Herkimer County, New York",2024-2025,2024,1327.0,2200.9,148.0,245.5,31.0,18.0,8.22,90.1,42.74,44.3,21.32,2.39,68104,11.84,4.16,0.21,15.95,6.61,2.54,60293,12856,7140,29422,1224,27448,59,56310,1532,9619,1410.586,0
NY,36,36045,JEFFERSON,"Jefferson County, New York",2024-2025,2024,3226.0,2746.8,282.0,240.1,33.0,19.0,14.84,82.5,92.63,32.8,14.19,2.44,62782,12.18,6.41,0.52,16.02,15.84,4.71,117445,16666,14310,47050,3017,54156,280,98846,5533,18809,1267.916,1
NY,36,36047,KINGS,"Kings County, New York",2024-2025,2024,63995.0,2388.2,6888.0,257.1,33.0,17.0,405.18,71.9,38624.04,35.9,14.5,2.64,74692,18.79,7.27,50.72,28.05,59.62,35.28,2679620,388584,503524,1359468,98832,1222797,620228,1082004,945466,751724,69.377,0
NY,36,36049,LEWIS,"Lewis County, New York",2024-2025,2024,719.0,2693.9,108.0,404.6,28.0,18.0,6.0,95.8,20.91,42.0,19.59,2.46,64401,12.96,5.16,1.07,13.3,4.73,1.11,26690,5229,3459,12517,646,11676,125,25428,295,3550,1276.462,0
NY,36,36051,LIVINGSTON,"Livingston County, New York",2024-2025,2024,1510.0,2436.3,202.0,325.9,31.0,20.0,10.1,77.4,98.11,41.7,18.89,2.35,70443,10.76,4.67,0.62,19.91,8.75,3.02,61980,11710,6667,30341,1418,28236,175,56557,1874,12342,631.762,0
NY,36,36053,MADISON,"Madison County, New York",2024-2025,2024,1313.0,1930.3,118.0,173.5,33.0,20.0,5.9,81.5,103.87,42.5,19.15,2.48,68869,8.76,4.06,0.33,18.24,8.12,2.87,68020,13025,5961,32851,1333,30850,102,62497,1951,12407,654.85,0
NY,36,36055,MONROE,"Monroe County, New York",2024-2025,2024,18801.0,2485.6,2207.0,291.8,33.0,20.0,110.35,78.8,1151.4,39.3,17.91,2.32,71450,13.02,5.27,1.98,28.13,27.75,8.25,756406,135497,98468,394049,20782,365663,7224,546529,62376,212814,656.944,0
NY,36,36057,MONTGOMERY,"Montgomery County, New York",2024-2025,2024,1089.0,2194.5,114.0,229.7,28.0,19.0,6.0,88.6,123.1,40.6,18.84,2.56,58033,14.88,5.91,0.25,13.67,17.12,3.12,49624,9349,7383,23465,1386,21665,55,41127,1547,6785,403.111,0
NY,36,36059,NASSAU,"Nassau County, New York",2024-2025,2024,56447.0,4063.4,6047.0,435.3,33.0,16.0,377.94,68.4,4882.09,41.7,18.03,3.01,137709,5.31,4.65,13.64,33.67,37.99,22.79,1389160,250475,73765,739080,34340,689613,94070,861432,316531,467753,284.542,1
NY,36,36061,NEW YORK,"New York County, New York",2024-2025,2024,36222.0,2200.8,3839.0,233.3,33.0,18.0,213.28,77.1,72639.55,38.5,17.27,2.04,99880,15.35,6.77,47.82,48.33,48.78,28.11,1645867,284256,252677,953371,64535,870794,416374,842952,462627,795444,22.658,0
NY,36,36063,NIAGARA,"Niagara County, New York",2024-2025,2024,3236.0,1524.8,334.0,157.4,32.0,23.0,14.52,85.0,406.3,43.1,19.74,2.29,65882,12.74,5.78,0.95,19.43,15.09,3.95,212230,41892,27046,106552,6155,98566,941,180212,8374,41237,522.353,0
NY,36,36065,ONEIDA,"Oneida County, New York",2024-2025,2024,4955.0,2144.5,499.0,216.0,33.0,20.0,24.95,84.2,190.57,40.9,19.17,2.36,66402,13.79,4.43,1.5,18.9,17.26,8.71,231055,44289,31854,107636,4771,100408,1502,191180,20123,43677,1212.443,0
NY,36,36067,ONONDAGA,"Onondaga County, New York",2024-2025,2024,9895.0,2093.6,1053.0,222.8,33.0,18.0,58.5,88.4,607.2,39.4,17.85,2.35,71479,13.34,5.65,2.37,25.36,23.28,7.9,472637,84343,63066,239433,13526,222274,5263,362589,37354,119853,778.393,0
NY,36,36069,ONTARIO,"Ontario County, New York",2024-2025,2024,2878.0,2563.1,394.0,350.9,28.0,19.0,20.74,79.8,174.34,43.8,21.03,2.3,76603,8.73,3.96,0.46,26.53,9.6,3.93,112288,23610,9803,57588,2278,54283,250,101505,4413,29794,644.075,0
NY,36,36071,ORANGE,"Orange County, New York",2024-2025,2024,13379.0,3334.4,1639.0,408.5,33.0,17.0,96.41,77.0,494.09,36.8,14.14,2.89,91806,12.73,5.35,4.66,20.17,32.83,12.23,401237,56715,51059,194320,10387,183472,8545,269528,49076,80915,812.078,1
NY,36,36073,ORLEANS,"Orleans County, New York",2024-2025,2024,909.0,2264.1,90.0,224.2,26.0,23.0,3.91,72.5,102.61,43.2,18.29,2.33,61069,11.96,6.08,0.39,13.0,12.78,2.91,40148,7343,4801,18969,1153,17535,69,35018,1170,5221,391.262,0
NY,36,36075,OSWEGO,"Oswego County, New York",2024-2025,2024,2753.0,2332.3,302.0,255.9,30.0,20.0,15.1,92.8,124.04,40.3,17.07,2.4,65054,16.37,7.35,0.76,14.58,6.77,2.06,118037,20150,19320,58807,4321,53261,406,110043,2430,17209,951.601,0
NY,36,36077,OTSEGO,"Otsego County, New York",2024-2025,2024,1305.0,2186.7,128.0,214.5,31.0,19.0,6.74,78.2,59.57,40.8,21.15,2.42,65778,11.88,4.96,0.64,22.22,8.88,3.84,59678,12622,7090,28757,1426,26908,172,54377,2289,13260,1001.738,0
NY,36,36079,PUTNAM,"Putnam County, New York",2024-2025,2024,4243.0,4332.2,449.0,458.4,33.0,18.0,24.94,68.7,425.37,44.1,18.28,2.73,120970,6.26,4.42,6.55,30.92,19.9,14.11,97942,17900,6129,52532,2322,49087,3217,78451,13815,30285,230.252,1
NY,36,36081,QUEENS,"Queens County, New York",2024-2025,2024,65736.0,2784.4,7046.0,298.5,33.0,17.0,414.47,71.1,21713.94,39.9,16.49,2.85,82431,11.56,7.02,43.73,25.18,69.48,47.14,2360826,389399,272926,1236423,86855,1112766,486661,720630,1112847,594463,108.724,1
NY,36,36083,RENSSELAER,"Rensselaer County, New York",2024-2025,2024,1986.0,1234.0,212.0,131.7,33.0,20.0,10.6,83.8,246.67,40.0,17.63,2.34,83734,11.05,5.59,2.5,24.91,17.34,5.72,160943,28382,17789,85799,4795,78978,1974,133037,9200,40094,652.459,0
NY,36,36085,RICHMOND,"Richmond County, New York",2024-2025,2024,13613.0,2761.7,1160.0,235.3,33.0,17.0,68.24,68.3,8569.18,40.3,16.59,2.86,96185,10.26,5.43,25.12,24.7,33.8,24.84,492925,81753,50556,239189,12999,221119,55556,326334,122426,121775,57.523,1
NY,36,36087,ROCKLAND,"Rockland County, New York",2024-2025,2024,11766.0,3488.0,1451.0,430.1,33.0,17.0,85.35,72.4,1942.17,35.3,15.64,3.22,106173,14.88,6.22,5.62,26.25,33.04,20.69,337326,52753,50181,158193,9844,144661,8124,225889,69800,88553,173.685,1
NY,36,36089,ST LAWRENCE,"St. Lawrence County, New York",2024-2025,2024,1327.0,1221.1,142.0,130.7,27.0,16.0,8.88,93.7,40.56,38.8,18.01,2.37,58339,15.34,6.27,0.2,15.44,7.64,3.64,108670,19575,16674,47737,2995,43767,87,100370,3958,16784,2679.395,0
NY,36,36091,SARATOGA,"Saratoga County, New York",2024-2025,2024,3865.0,1635.4,439.0,185.8,33.0,18.0,24.39,74.6,291.77,43.3,18.94,2.36,97038,6.45,3.54,0.66,31.37,9.74,5.55,236328,44772,15248,129547,4588,123295,816,213299,13119,74144,809.97,0
NY,36,36093,SCHENECTADY,"Schenectady County, New York",2024-2025,2024,2638.0,1654.5,270.0,169.3,32.0,19.0,14.21,78.3,779.05,39.7,17.47,2.42,75056,11.3,5.98,3.93,23.55,28.03,10.06,159447,27851,18013,81224,4857,75018,2950,114752,16034,37556,204.669,0
NY,36,36095,SCHOHARIE,"Schoharie County, New York",2024-2025,2024,490.0,1635.0,81.0,270.3,23.0,23.0,3.52,82.9,48.2,45.7,23.04,2.33,71479,9.69,5.29,0.38,17.91,8.84,3.09,29970,6905,2904,14703,778,13550,52,27321,927,5369,621.819,0
NY,36,36097,SCHUYLER,"Schuyler County, New York",2024-2025,2024,385.0,2156.3,39.0,218.4,26.0,14.0,2.79,87.3,54.38,47.3,22.06,2.36,61316,15.58,5.67,0.19,18.21,5.67,1.83,17855,3939,2781,8682,492,7982,15,16843,326,3252,328.343,0
NY,36,36099,SENECA,"Seneca County, New York",2024-2025,2024,589.0,1750.3,63.0,187.2,27.0,20.0,3.15,75.0,103.96,43.0,20.17,2.3,64050,12.31,4.51,0.38,16.06,10.45,2.36,33651,6788,4144,15625,705,14480,55,30133,795,5404,323.698,0
NY,36,36101,STEUBEN,"Steuben County, New York",2024-2025,2024,2324.0,2483.3,232.0,247.9,28.0,18.0,12.89,90.3,67.3,42.8,19.97,2.35,62506,13.24,6.31,0.4,18.37,6.94,3.29,93584,18690,12388,44987,2838,41256,166,87093,3075,17190,1390.508,0
NY,36,36103,SUFFOLK,"Suffolk County, New York",2024-2025,2024,57012.0,3739.8,6337.0,415.7,33.0,18.0,352.06,72.3,1673.56,41.7,17.28,2.93,122498,6.38,4.76,5.3,27.32,27.07,15.98,1524486,263382,97307,820921,39103,765877,40556,1111855,243555,416452,910.922,1
NY,36,36105,SULLIVAN,"Sullivan County, New York",2024-2025,2024,2834.0,3599.9,355.0,450.9,33.0,18.0,19.72,83.2,81.32,41.9,18.93,2.47,67841,14.24,7.2,1.1,19.6,25.36,10.51,78725,14901,11211,37147,2673,33267,366,58757,8276,15427,968.145,1
NY,36,36107,TIOGA,"Tioga County, New York",2024-2025,2024,1124.0,2325.0,105.0,217.2,30.0,20.0,5.25,92.0,93.19,44.7,20.85,2.35,70427,10.03,5.59,0.24,18.91,5.55,2.01,48344,10080,4848,24068,1346,22405,53,45662,973,9144,518.767,0
NY,36,36109,TOMPKINS,"Tompkins County, New York",2024-2025,2024,1534.0,1495.8,123.0,119.9,33.0,18.0,6.83,82.3,216.07,32.6,15.68,2.06,69995,13.88,4.69,6.05,34.28,21.82,12.96,102555,16079,14232,51844,2429,48267,2921,80182,13296,35157,474.642,0
NY,36,36111,ULSTER,"Ulster County, New York",2024-2025,2024,3736.0,2051.0,418.0,229.5,33.0,18.0,23.22,77.2,162.02,44.2,20.46,2.34,77197,14.13,5.05,2.29,26.2,21.78,7.76,182153,37270,25740,91097,4604,83839,1918,142478,14143,47719,1124.236,0
NY,36,36113,WARREN,"Warren County, New York",2024-2025,2024,904.0,1376.3,113.0,172.0,31.0,18.0,6.28,77.9,75.74,46.7,23.03,2.17,74531,8.54,4.2,0.73,25.39,6.56,3.47,65684,15130,5607,33283,1399,31577,231,61373,2282,16678,867.222,0
NY,36,36115,WASHINGTON,"Washington County, New York",2024-2025,2024,1102.0,1797.4,127.0,207.1,31.0,18.0,7.06,74.8,73.76,44.6,20.41,2.41,68703,10.83,5.13,0.38,15.6,7.94,2.84,61310,12515,6641,30163,1546,27765,106,56445,1742,9565,831.19,0
NY,36,36117,WAYNE,"Wayne County, New York",2024-2025,2024,2874.0,3147.0,362.0,396.4,33.0,20.0,18.1,74.8,151.24,43.6,19.72,2.37,71007,10.9,4.29,0.28,17.86,10.22,2.63,91324,18006,9958,45807,1964,42736,119,81988,2404,16308,603.83,1
NY,36,36119,WESTCHESTER,"Westchester County, New York",2024-2025,2024,42522.0,4261.1,4331.0,434.0,33.0,18.0,240.61,70.2,2316.31,41.3,17.48,2.64,114651,8.36,6.04,18.6,36.05,42.69,25.58,997904,174395,83412,528032,31868,485163,90262,571908,255236,359764,430.817,1
NY,36,36121,WYOMING,"Wyoming County, New York",2024-2025,2024,652.0,1616.3,63.0,156.2,28.0,21.0,3.0,79.0,68.05,42.9,19.13,2.34,65066,10.01,4.08,0.63,13.33,10.19,2.19,40338,7716,4037,18869,769,17810,113,36228,883,5378,592.752,0
NY,36,36123,YATES,"Yates County, New York",2024-2025,2024,514.0,2079.9,71.0,287.3,21.0,20.0,3.55,88.7,73.09,41.7,21.48,2.64,63974,13.54,3.23,0.02,16.29,4.17,1.58,24713,5309,3347,11168,361,10662,2,23683,390,4025,338.139,0
PA,42,42063,INDIANA,"Indiana County, Pennsylvania",2025-2026,2025,442.0,530.0,,,,,,,100.79,39.6,19.74,2.41,57170,12.11,6.46,0.24,17.09,6.89,1.82,83394,16461,10100,39030,2522,35567,86,77644,1519,14253,827.405,0
PA,42,42011,BERKS,"Berks County, Pennsylvania",2025-2026,2025,3847.0,897.8,,,,,,,500.33,39.9,17.54,2.58,74617,11.46,5.38,1.21,18.29,24.64,8.13,428483,75145,49115,223434,12012,206685,2499,322910,34825,78363,856.403,0
PA,42,42117,TIOGA,"Tioga County, Pennsylvania",2025-2026,2025,725.0,1760.3,,,,,,,36.32,45.0,22.63,2.44,59707,11.96,4.51,0.5,15.26,3.73,1.46,41186,9322,4926,19405,876,18275,92,39649,602,6285,1133.892,1
PA,42,42071,LANCASTER,"Lancaster County, Pennsylvania",2025-2026,2025,7893.0,1426.8,,,,,,,586.07,39.0,18.81,2.58,81458,7.99,3.38,0.81,20.68,15.58,5.5,553202,104082,44195,289582,9783,274411,2222,466989,30408,114403,943.924,0
PA,42,42019,BUTLER,"Butler County, Pennsylvania",2025-2026,2025,1624.0,834.7,,,,,,,246.44,43.4,19.65,2.38,82932,7.67,4.65,0.42,27.5,5.55,2.25,194562,38240,14930,101332,4715,94590,394,183767,4381,53500,789.486,0
